trial,ucs_nodes,ucs_frontier,ucs_time,ucs_path_len,astar_nodes,astar_frontier,astar_time,astar_path_len
0,38,7,0.00011319993063807487,10,16,8,4.869978874921799e-05,10
1,57,7,0.00011830008588731289,15,30,7,6.889994256198406e-05,15
2,45,7,9.21997707337141e-05,12,23,13,5.359994247555733e-05,12
3,56,10,0.00011589983478188515,15,28,8,6.379978731274605e-05,15
4,51,8,0.00012359977699816227,13,24,8,7.109995931386948e-05,13
5,39,5,7.87999015301466e-05,12,24,6,5.339994095265865e-05,12
6,41,7,8.429982699453831e-05,10,19,9,4.429998807609081e-05,10
7,35,8,7.369997911155224e-05,7,12,9,3.0499882996082306e-05,7
8,76,10,0.0001538002397865057,20,43,14,0.00010460009798407555,20
9,70,7,0.00014200014993548393,16,30,11,7.229996845126152e-05,16
